locus_tag	ftype	length_bp	gene	EC_number	COG	product
FBJMCHFD_00760	CDS	759	tuaG_1	2.4.-.-	COG0463	Putative teichuronic acid biosynthesis glycosyltransferase TuaG
FBJMCHFD_00761	CDS	681	tuaF_1			Teichuronic acid biosynthesis protein TuaF
FBJMCHFD_00762	CDS	1419	tuaE_1			Teichuronic acid biosynthesis protein TuaE
FBJMCHFD_00763	CDS	1341	tuaD_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
FBJMCHFD_00764	CDS	1197	tuaC_1	2.4.-.-	COG0438	Putative teichuronic acid biosynthesis glycosyltransferase TuaC
FBJMCHFD_00765	CDS	1449	tuaB_1		COG2244	Teichuronic acid biosynthesis protein TuaB
FBJMCHFD_00766	CDS	660				hypothetical protein
FBJMCHFD_00767	CDS	1491	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
FBJMCHFD_00768	CDS	2121	lytB_1		COG2247	Amidase enhancer
FBJMCHFD_00769	CDS	318	lytA_1			Membrane-bound protein LytA
FBJMCHFD_00770	CDS	918	tagU_2	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
FBJMCHFD_00771	CDS	1140	mnaA_1	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
FBJMCHFD_00772	CDS	885	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
FBJMCHFD_00773	CDS	1545	tagH_1	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
FBJMCHFD_00774	CDS	828	tagG_1		COG1682	Teichoic acid translocation permease protein TagG
FBJMCHFD_00775	CDS	2175	tagF_1	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
FBJMCHFD_00776	CDS	1539	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
FBJMCHFD_00777	CDS	390	tagD_1	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
FBJMCHFD_00778	CDS	771	tagA_1	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
FBJMCHFD_00779	CDS	1164	tagB_1	2.7.8.44	COG1887	Teichoic acid glycerol-phosphate primase
FBJMCHFD_00780	CDS	2646	lytD_1	3.2.1.96	COG4193	Beta-N-acetylglucosaminidase
FBJMCHFD_00781	CDS	951	yvyI_1	5.3.1.8	COG1482	Putative mannose-6-phosphate isomerase YvyI
FBJMCHFD_00782	CDS	1452	gerBA_1			Spore germination protein B1
FBJMCHFD_00783	CDS	1107	gerBB_1			Spore germination protein B2
FBJMCHFD_00784	CDS	1131	gerBC_1			Spore germination protein B3
FBJMCHFD_00785	CDS	1380	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FBJMCHFD_00786	CDS	1482	csbC_1			putative metabolite transport protein CsbC
FBJMCHFD_00787	CDS	987	tagT_1	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT
FBJMCHFD_00788	CDS	858	ywtE_1	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YwtE
FBJMCHFD_00789	CDS	726	yttA_1			putative membrane protein YttA
FBJMCHFD_00790	CDS	1236	pgdS_1	3.4.19.-	COG0791	Gamma-DL-glutamyl hydrolase
FBJMCHFD_00791	CDS	162				hypothetical protein
FBJMCHFD_00792	CDS	1149	capA_1			Capsule biosynthesis protein CapA
FBJMCHFD_00793	CDS	450	capC_1			Capsule biosynthesis protein CapC
FBJMCHFD_00794	CDS	1182	capB_1			Capsule biosynthesis protein CapB
FBJMCHFD_00795	CDS	1470	gerBA_2			Spore germination protein B1
FBJMCHFD_00796	CDS	1092	yndE_1			Spore germination protein YndE
FBJMCHFD_00797	CDS	1134				hypothetical protein
FBJMCHFD_00798	CDS	990	ccpA_1		COG1609	Catabolite control protein A
FBJMCHFD_00799	CDS	882	rbsK/rbiA_1			Bifunctional ribokinase/ribose-5-phosphate isomerase A
FBJMCHFD_00800	CDS	396	rbsD_1	5.4.99.62	COG1869	D-ribose pyranase
FBJMCHFD_00801	CDS	1494	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
FBJMCHFD_00802	CDS	972	rbsC_1		COG1172	Ribose import permease protein RbsC
FBJMCHFD_00803	CDS	918	rbsB_1		COG1879	Ribose import binding protein RbsB
FBJMCHFD_00804	CDS	534	ywsB_1			Cell wall-binding protein YwsB
FBJMCHFD_00805	CDS	525	ywrO_1	1.6.99.-	COG2249	General stress protein 14
FBJMCHFD_00806	CDS	768	alsD_1	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
FBJMCHFD_00807	CDS	1716	alsS_1	2.2.1.6	COG0028	Acetolactate synthase
FBJMCHFD_00808	CDS	909	hcaR_1			Hca operon transcriptional activator HcaR
FBJMCHFD_00809	CDS	138				hypothetical protein
FBJMCHFD_00810	CDS	1332	arsB_2		COG1055	Arsenical pump membrane protein
FBJMCHFD_00811	CDS	675				hypothetical protein
FBJMCHFD_00812	CDS	894				hypothetical protein
FBJMCHFD_00813	CDS	1095	cotH_1		COG5337	Inner spore coat protein H
FBJMCHFD_00814	CDS	807				hypothetical protein
FBJMCHFD_00815	CDS	366	emrE		COG2076	Multidrug transporter EmrE
FBJMCHFD_00816	CDS	408				hypothetical protein
FBJMCHFD_00817	CDS	225				hypothetical protein
FBJMCHFD_00818	CDS	354				hypothetical protein
FBJMCHFD_00819	CDS	1275	mntH_1		COG1914	Divalent metal cation transporter MntH
FBJMCHFD_00820	CDS	267				hypothetical protein
FBJMCHFD_00821	CDS	579				hypothetical protein
FBJMCHFD_00822	CDS	558				hypothetical protein
FBJMCHFD_00823	CDS	180				hypothetical protein
FBJMCHFD_00824	CDS	231				hypothetical protein
FBJMCHFD_00825	CDS	135				hypothetical protein
FBJMCHFD_00826	CDS	1131	rapH_1	3.1.-.-		Response regulator aspartate phosphatase H
FBJMCHFD_00827	CDS	450				hypothetical protein
FBJMCHFD_00828	CDS	558				hypothetical protein
FBJMCHFD_00829	CDS	231	cwlA_1	3.5.1.28	COG3409	N-acetylmuramoyl-L-alanine amidase CwlA
FBJMCHFD_00830	CDS	1722	ydaP_1		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
FBJMCHFD_00831	CDS	363	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
FBJMCHFD_00832	CDS	1821	kimA		COG0531	Potassium transporter KimA
FBJMCHFD_00833	CDS	2115				hypothetical protein
FBJMCHFD_00834	CDS	1263		2.4.1.336	COG1215	Beta-monoglucosyldiacylglycerol synthase
FBJMCHFD_00835	CDS	1728				hypothetical protein
FBJMCHFD_00836	CDS	849	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
FBJMCHFD_00837	CDS	1086				hypothetical protein
FBJMCHFD_00838	CDS	2211	topB_1	5.6.2.1		DNA topoisomerase 3
FBJMCHFD_00839	CDS	435	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
FBJMCHFD_00840	CDS	291				hypothetical protein
FBJMCHFD_00841	CDS	810	amj_1			Lipid II flippase Amj
FBJMCHFD_00842	CDS	423	ydaG_1		COG3871	General stress protein 26
FBJMCHFD_00843	CDS	624	ydaF_1	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
FBJMCHFD_00844	CDS	504	ydaE_1	5.3.1.15	COG3822	putative D-lyxose ketol-isomerase
FBJMCHFD_00845	CDS	861	ydaD_3	1.-.-.-		General stress protein 39
FBJMCHFD_00846	CDS	1515	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
FBJMCHFD_00847	CDS	2085	mtlR_1			Transcriptional regulator MtlR
FBJMCHFD_00848	CDS	903	ydhF_1	1.-.-.-	COG4989	Oxidoreductase YdhF
FBJMCHFD_00849	CDS	2004	mrdA_1	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
FBJMCHFD_00850	CDS	321				hypothetical protein
FBJMCHFD_00851	CDS	246				hypothetical protein
FBJMCHFD_00852	CDS	642	lipC_1	3.-.-.-	COG2755	Spore germination lipase LipC
FBJMCHFD_00853	CDS	780	kipR_1		COG1414	HTH-type transcriptional regulator KipR
FBJMCHFD_00854	CDS	1014	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
FBJMCHFD_00855	CDS	732	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
FBJMCHFD_00856	CDS	795		4.2.1.-	COG4336	Putative hydro-lyase
FBJMCHFD_00857	CDS	1215	mntH_2			Divalent metal cation transporter MntH
FBJMCHFD_00858	CDS	765	pxpA_1	3.5.2.9	COG1540	5-oxoprolinase subunit A
FBJMCHFD_00859	CDS	750	ycsE_1	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
FBJMCHFD_00860	CDS	165				hypothetical protein
FBJMCHFD_00861	CDS	396	fabZ_1	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
FBJMCHFD_00862	CDS	1122	mtlD_1	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
FBJMCHFD_00863	CDS	432	mtlF_1		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
FBJMCHFD_00864	CDS	1434	mtlA_1			PTS system mannitol-specific EIICB component
FBJMCHFD_00865	CDS	342	ycnL_1			putative protein YcnL
FBJMCHFD_00866	CDS	573	ycnK_1		COG1349	HTH-type transcriptional repressor YcnK
FBJMCHFD_00867	CDS	1629	ycnJ_1		COG1276	Copper transport protein YcnJ
FBJMCHFD_00868	CDS	612	ycnI_1		COG4549	putative protein YcnI
FBJMCHFD_00869	CDS	786	gdh_1	1.1.1.47	COG1028	Glucose 1-dehydrogenase
FBJMCHFD_00870	CDS	864	glcU_1		COG4975	Glucose uptake protein GlcU
FBJMCHFD_00871	CDS	1389	gabD_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
FBJMCHFD_00872	CDS	1308	davT_1	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
FBJMCHFD_00873	CDS	1410	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
FBJMCHFD_00874	CDS	315				hypothetical protein
FBJMCHFD_00875	CDS	288	ycnE_1	1.-.-.-	COG1359	Putative monooxygenase YcnE
FBJMCHFD_00876	CDS	747	nfrA2_1	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
FBJMCHFD_00877	CDS	876				hypothetical protein
FBJMCHFD_00878	CDS	1425	farB			Fatty acid resistance protein FarB
FBJMCHFD_00879	CDS	945	yclQ_1		COG4607	Petrobactin-binding protein YclQ
FBJMCHFD_00880	CDS	759	yclP_1	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
FBJMCHFD_00881	CDS	948	yclO_1		COG4605	Petrobactin import system permease protein YclO
FBJMCHFD_00882	CDS	954	yclN_1		COG4606	Petrobactin import system permease protein YclN
FBJMCHFD_00883	CDS	1365	yclM_1	2.7.2.4	COG0527	Aspartokinase 3
FBJMCHFD_00884	CDS	120	phrC_1			Phosphatase RapC inhibitor
FBJMCHFD_00885	CDS	1149	rapF_1	3.1.-.-	COG0457	Response regulator aspartate phosphatase F
FBJMCHFD_00886	CDS	1431	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
FBJMCHFD_00887	CDS	684	srrA_1		COG0745	Transcriptional regulatory protein SrrA
FBJMCHFD_00888	CDS	1431				hypothetical protein
FBJMCHFD_00889	CDS	684	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
FBJMCHFD_00890	CDS	1347				hypothetical protein
FBJMCHFD_00891	CDS	1152	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
FBJMCHFD_00892	CDS	750	yxeO_1	3.6.3.-	COG1126	putative amino-acid import ATP-binding protein YxeO
FBJMCHFD_00893	CDS	675	yxeN_1			putative amino-acid permease protein YxeN
FBJMCHFD_00894	CDS	792	yxeM_1		COG0834	putative amino-acid-binding protein YxeM
FBJMCHFD_00895	CDS	492	scmL_1	2.3.1.-		S-(2-succino)cysteine N-acetyltransferase
FBJMCHFD_00896	CDS	1323	ntaA_1	1.14.14.10		Nitrilotriacetate monooxygenase component A
FBJMCHFD_00897	CDS	1119	yndE_2			Spore germination protein YndE
FBJMCHFD_00898	CDS	1227	gerBC_2			Spore germination protein B3
FBJMCHFD_00899	CDS	1641	gerBA_3			Spore germination protein B1
FBJMCHFD_00900	CDS	222				hypothetical protein
FBJMCHFD_00901	CDS	1779				hypothetical protein
FBJMCHFD_00902	CDS	1479	dtpT_1		COG3104	Di-/tripeptide transporter
FBJMCHFD_00903	CDS	462				hypothetical protein
FBJMCHFD_00904	CDS	228	bsdD_1			Protein BsdD
FBJMCHFD_00905	CDS	1422	bsdC_1	4.1.1.61	COG0043	Phenolic acid decarboxylase
FBJMCHFD_00906	CDS	579	bsdB_1	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
FBJMCHFD_00907	CDS	873	gltC_1			HTH-type transcriptional regulator GltC
FBJMCHFD_00908	CDS	573	tcyA_1		COG0834	L-cystine-binding protein TcyA
FBJMCHFD_00909	CDS	705	tcyB_1		COG0765	L-cystine transport system permease protein TcyB
FBJMCHFD_00910	CDS	744	tcyC_1	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
FBJMCHFD_00911	CDS	630				hypothetical protein
FBJMCHFD_00912	CDS	675	sfp_1	2.7.8.7	COG2091	4'-phosphopantetheinyl transferase Sfp
FBJMCHFD_00913	CDS	1311	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
FBJMCHFD_00914	CDS	732	srfAD_1	3.1.2.-	COG3208	Surfactin synthase thioesterase subunit
FBJMCHFD_00915	CDS	3837	srfAC_1		COG3319	Surfactin synthase subunit 3
FBJMCHFD_00916	CDS	1320	srfAB_1			Surfactin synthase subunit 2
FBJMCHFD_00917	CDS	978	pdhB_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
FBJMCHFD_00918	CDS	1116	pdhA_1	1.2.4.1	COG1071	Pyruvate dehydrogenase E1 component subunit alpha
FBJMCHFD_00919	CDS	1092	yfeW	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
FBJMCHFD_00920	CDS	3852	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
FBJMCHFD_00921	CDS	7389	acpP_1			Acyl carrier protein
FBJMCHFD_00922	CDS	5715	acpP_2			Acyl carrier protein
FBJMCHFD_00923	CDS	7005	acpP_3			Acyl carrier protein
FBJMCHFD_00924	CDS	8709	pksN_1	2.3.1.-	COG1020	Polyketide synthase PksN
FBJMCHFD_00925	CDS	4770				hypothetical protein
FBJMCHFD_00926	CDS	12258	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
FBJMCHFD_00927	CDS	2307	pksE_1		COG0331	Polyketide biosynthesis protein PksE
FBJMCHFD_00928	CDS	645				hypothetical protein
FBJMCHFD_00929	CDS	180				hypothetical protein
FBJMCHFD_00930	CDS	555	defB_1	3.5.1.88	COG0242	Peptide deformylase 2
FBJMCHFD_00931	CDS	774				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
FBJMCHFD_00932	CDS	210				hypothetical protein
FBJMCHFD_00933	CDS	1668	rnjA_1	3.1.-.-	COG0595	Ribonuclease J1
FBJMCHFD_00934	CDS	1734	adeC_1	3.5.4.2		Adenine deaminase
FBJMCHFD_00935	CDS	666	ktrA_2		COG0569	Ktr system potassium uptake protein A
FBJMCHFD_00936	CDS	828	ykqA_1	2.3.2.-	COG2105	Putative gamma-glutamylcyclotransferase YkqA
FBJMCHFD_00937	CDS	1431	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
FBJMCHFD_00938	CDS	285	abh_1		COG2002	Putative transition state regulator Abh
FBJMCHFD_00939	CDS	1020	mreBH_1		COG1077	Cell shape-determining protein MreBH
FBJMCHFD_00940	CDS	135				hypothetical protein
FBJMCHFD_00941	CDS	1233		3.4.11.-		Aminopeptidase 2
FBJMCHFD_00942	CDS	909	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
FBJMCHFD_00943	CDS	1620	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
FBJMCHFD_00944	CDS	270				hypothetical protein
FBJMCHFD_00945	CDS	582	sipT_1	3.4.21.89	COG0681	Signal peptidase I T
FBJMCHFD_00946	CDS	1905	fruA_1		COG1299	PTS system fructose-specific EIIABC component
FBJMCHFD_00947	CDS	912	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
FBJMCHFD_00948	CDS	756	lacR_1			Lactose phosphotransferase system repressor
FBJMCHFD_00949	CDS	1194	yknZ_1		COG0577	putative ABC transporter permease YknZ
FBJMCHFD_00950	CDS	693	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
FBJMCHFD_00951	CDS	1137	yknX_1		COG0845	Putative efflux system component YknX
FBJMCHFD_00952	CDS	699	yknW_1			Membrane protein YknW
FBJMCHFD_00953	CDS	234	moaD_1		COG1977	Molybdopterin synthase sulfur carrier subunit
FBJMCHFD_00954	CDS	471	moaE_1	2.8.1.12		Molybdopterin synthase catalytic subunit
FBJMCHFD_00955	CDS	522				hypothetical protein
FBJMCHFD_00956	CDS	1293	moeA_1	2.10.1.1		Molybdopterin molybdenumtransferase
FBJMCHFD_00957	CDS	1020				hypothetical protein
FBJMCHFD_00958	CDS	603	mobA_1	2.7.7.77		putative molybdenum cofactor guanylyltransferase
FBJMCHFD_00959	CDS	993				Sporulation protein cse15
FBJMCHFD_00960	CDS	597	rok_1			Repressor Rok
FBJMCHFD_00961	CDS	459	ykuV_1	1.8.-.-	COG0526	Thiol-disulfide oxidoreductase YkuV
FBJMCHFD_00962	CDS	807	ykuT_1		COG0668	putative MscS family protein YkuT
FBJMCHFD_00963	CDS	246				hypothetical protein
FBJMCHFD_00964	CDS	1125	ykuR_1	3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
FBJMCHFD_00965	CDS	711	dapH_2	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
FBJMCHFD_00966	CDS	456			COG0716	Flavodoxin
FBJMCHFD_00967	CDS	894				hypothetical protein
FBJMCHFD_00968	CDS	474				Flavodoxin
FBJMCHFD_00969	CDS	882	hdfR			HTH-type transcriptional regulator HdfR
FBJMCHFD_00970	CDS	444	ykuL_1		COG0517	CBS domain-containing protein YkuL
FBJMCHFD_00971	CDS	192	ykzF_1			putative protein YkzF
FBJMCHFD_00972	CDS	519				hypothetical protein
FBJMCHFD_00973	CDS	1167	rny_1	3.1.-.-	COG1418	Ribonuclease Y
FBJMCHFD_00974	CDS	795	ymdB_1	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
FBJMCHFD_00975	CDS	261	spoVS		COG2359	Stage V sporulation protein S
FBJMCHFD_00976	CDS	1047	tdh_1	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
FBJMCHFD_00977	CDS	1176		2.3.1.29	COG0156	8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase
FBJMCHFD_00978	CDS	1530	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
FBJMCHFD_00979	CDS	432	ymcA_1		COG4550	putative protein YmcA
FBJMCHFD_00980	CDS	546	cotE_1			Spore coat protein E
FBJMCHFD_00981	CDS	2589	mutS_1		COG0249	DNA mismatch repair protein MutS
FBJMCHFD_00982	CDS	1875	mutL_1		COG0323	DNA mismatch repair protein MutL
FBJMCHFD_00983	CDS	210				hypothetical protein
FBJMCHFD_00984	CDS	693	baeB	3.-.-.-	COG0491	putative polyketide biosynthesis zinc-dependent hydrolase BaeB
FBJMCHFD_00985	CDS	870	baeC	2.3.1.39	COG0331	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase BaeC
FBJMCHFD_00986	CDS	975	baeD	2.3.1.-	COG3321	Polyketide biosynthesis acyltransferase BaeD
FBJMCHFD_00987	CDS	2241	baeE		COG0331	Polyketide biosynthesis protein BaeE
FBJMCHFD_00988	CDS	249	acpK		COG0236	Polyketide biosynthesis acyl-carrier-protein AcpK
FBJMCHFD_00989	CDS	1263	pksG_1	2.3.3.-	COG3425	Polyketide biosynthesis 3-hydroxy-3-methylglutaryl-ACP synthase PksG
FBJMCHFD_00990	CDS	774	pksH	4.2.1.-	COG1024	putative polyketide biosynthesis enoyl-CoA hydratase PksH
FBJMCHFD_00991	CDS	750	pksI_1	4.-.-.-	COG1024	Putative polyketide biosynthesis enoyl-CoA isomerase PksI
FBJMCHFD_00992	CDS	14949	pksJ_1		COG0318	Polyketide synthase PksJ
FBJMCHFD_00993	CDS	13413	pksL		COG3321	Polyketide synthase PksL
FBJMCHFD_00994	CDS	10536	pksM			Polyketide synthase PksM
FBJMCHFD_00995	CDS	16299	pksN_2	2.3.1.-	COG1020	Polyketide synthase PksN
FBJMCHFD_00996	CDS	7458	pksR	2.3.1.-	COG3319	Polyketide synthase PksR
FBJMCHFD_00997	CDS	1212	pksS_1	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
FBJMCHFD_00998	CDS	435	nucB_1	3.-.-.-		Sporulation-specific extracellular nuclease
FBJMCHFD_00999	CDS	717				hypothetical protein
FBJMCHFD_01000	CDS	363				hypothetical protein
FBJMCHFD_01001	CDS	1329	aprX_1	3.4.21.-	COG1404	Serine protease AprX
FBJMCHFD_01002	CDS	234				hypothetical protein
FBJMCHFD_01003	CDS	708				hypothetical protein
FBJMCHFD_01004	CDS	453				hypothetical protein
FBJMCHFD_01005	CDS	354	ebrB_1			Multidrug resistance protein EbrB
FBJMCHFD_01006	CDS	333	ebrA_1			Multidrug resistance protein EbrA
FBJMCHFD_01007	CDS	312				hypothetical protein
FBJMCHFD_01008	CDS	405				hypothetical protein
FBJMCHFD_01009	CDS	945	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
FBJMCHFD_01010	CDS	222	hfq_1		COG1923	RNA-binding protein Hfq
FBJMCHFD_01011	CDS	276	ymzC_1			putative protein YmzC
FBJMCHFD_01012	CDS	216				hypothetical protein
FBJMCHFD_01013	CDS	174	sinI_1			Protein SinI
FBJMCHFD_01014	CDS	795				hypothetical protein
FBJMCHFD_01015	CDS	1671	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
FBJMCHFD_01016	CDS	1101	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
FBJMCHFD_01017	CDS	1347	gcvPA_1	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
FBJMCHFD_01018	CDS	1476	gcvPB_1	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
FBJMCHFD_01019	CDS	381	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
FBJMCHFD_01020	CDS	837	lipM_1	2.3.1.181	COG0095	Octanoyltransferase LipM
FBJMCHFD_01021	CDS	429	mntR_1		COG1321	HTH-type transcriptional regulator MntR
FBJMCHFD_01022	CDS	876				hypothetical protein
FBJMCHFD_01023	CDS	396				hypothetical protein
FBJMCHFD_01024	CDS	957				hypothetical protein
FBJMCHFD_01025	CDS	531				hypothetical protein
FBJMCHFD_01026	CDS	1062	ypdF_1	3.4.11.-	COG0006	Aminopeptidase YpdF
FBJMCHFD_01027	CDS	558	efp_1			Elongation factor P
FBJMCHFD_01028	CDS	282				hypothetical protein
FBJMCHFD_01029	CDS	924				hypothetical protein
FBJMCHFD_01030	CDS	516	spoIIIAB			Stage III sporulation protein AB
FBJMCHFD_01031	CDS	207				hypothetical protein
FBJMCHFD_01032	CDS	303				hypothetical protein
FBJMCHFD_01033	CDS	1209	spoIIIAE_1			Stage III sporulation protein AE
FBJMCHFD_01034	CDS	621	spoIIIAF_1			Stage III sporulation protein AF
FBJMCHFD_01035	CDS	693				hypothetical protein
FBJMCHFD_01036	CDS	651	spoIIIAH_1			Stage III sporulation protein AH
FBJMCHFD_01037	CDS	480	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
FBJMCHFD_01038	CDS	1353	accC	6.3.4.14	COG0439	Biotin carboxylase
FBJMCHFD_01039	CDS	408				hypothetical protein
FBJMCHFD_01040	CDS	393	nusB_1			Transcription antitermination protein NusB
FBJMCHFD_01041	CDS	852	folD_1		COG0190	Bifunctional protein FolD protein
FBJMCHFD_01042	CDS	1347	xseA_1	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
FBJMCHFD_01043	CDS	255	xseB_1	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
FBJMCHFD_01044	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
FBJMCHFD_01045	CDS	1902	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
FBJMCHFD_01046	CDS	846	tlyA_1		COG1189	Hemolysin A
FBJMCHFD_01047	CDS	450	argR_1		COG1438	Arginine repressor
FBJMCHFD_01048	CDS	1731	recN_1		COG0497	DNA repair protein RecN
FBJMCHFD_01049	CDS	1281	spoIVB	3.4.21.116	COG0750	SpoIVB peptidase
FBJMCHFD_01050	CDS	801	spo0A_1		COG0784	Stage 0 sporulation protein A
FBJMCHFD_01051	CDS	1182	alr2_1	5.1.1.1	COG0787	Alanine racemase 2
FBJMCHFD_01052	CDS	213	gerPF_3			putative spore germination protein GerPF
FBJMCHFD_01053	CDS	216	gerPF_4			putative spore germination protein GerPF
FBJMCHFD_01054	CDS	1119		1.-.-.-		putative oxidoreductase
FBJMCHFD_01055	CDS	96				hypothetical protein
FBJMCHFD_01056	CDS	633				hypothetical protein
FBJMCHFD_01057	CDS	624	ytaF_1			putative sporulation protein YtaF
FBJMCHFD_01058	CDS	294				hypothetical protein
FBJMCHFD_01059	CDS	627	lytC_2	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
FBJMCHFD_01060	CDS	738	glpQ_2	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
FBJMCHFD_01061	CDS	1182	mmgA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
FBJMCHFD_01062	CDS	852	mmgB_1	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
FBJMCHFD_01063	CDS	1134	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
FBJMCHFD_01064	CDS	1098	mmgD_1	2.3.3.-	COG0372	Citrate/2-methylcitrate synthase
FBJMCHFD_01065	CDS	1428	mmgE_1	4.2.1.-	COG2079	Citrate/2-methylcitrate dehydratase
FBJMCHFD_01066	CDS	906	mmgF_1	4.1.3.-	COG2513	2-methylisocitrate lyase
FBJMCHFD_01067	CDS	243				hypothetical protein
FBJMCHFD_01068	CDS	2070	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
FBJMCHFD_01069	CDS	894	pta_2	2.3.1.8	COG0280	Phosphate acetyltransferase
FBJMCHFD_01070	CDS	1095	ldh_1	1.4.1.9	COG0334	Leucine dehydrogenase
FBJMCHFD_01071	CDS	1110	buk2_1	2.7.2.7	COG3426	Butyrate kinase 2
FBJMCHFD_01072	CDS	1422	lpd_1	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
FBJMCHFD_01073	CDS	993	bfmBAA_1	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
FBJMCHFD_01074	CDS	984	bfmBAB_1	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
